timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/28 20:34:09.520, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.86 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:10.539, 97 %, 59 %, 3330 MiB, 8192 MiB, 106.46 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:11.605, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.32 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:34:12.671, 94 %, 61 %, 3330 MiB, 8192 MiB, 105.99 W, 86, 1470 MHz, 7000 MHz
2026/05/28 20:34:13.735, 95 %, 63 %, 3330 MiB, 8192 MiB, 106.47 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:14.800, 98 %, 61 %, 3330 MiB, 8192 MiB, 107.29 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:15.874, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.35 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:16.944, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.60 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:34:17.976, 94 %, 62 %, 3330 MiB, 8192 MiB, 106.42 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:34:18.985, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.89 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:19.996, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.96 W, 86, 1560 MHz, 7000 MHz
2026/05/28 20:34:21.009, 97 %, 63 %, 3330 MiB, 8192 MiB, 107.18 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:22.020, 95 %, 63 %, 3330 MiB, 8192 MiB, 106.62 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:19.566, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.56 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:34:20.580, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.69 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:21.596, 97 %, 63 %, 3330 MiB, 8192 MiB, 107.75 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:22.608, 95 %, 59 %, 3330 MiB, 8192 MiB, 111.52 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:23.620, 62 %, 38 %, 3330 MiB, 8192 MiB, 98.08 W, 86, 1455 MHz, 7000 MHz
2026/05/28 20:34:24.635, 94 %, 62 %, 3330 MiB, 8192 MiB, 114.12 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:25.647, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.16 W, 86, 1530 MHz, 7000 MHz
2026/05/28 20:34:26.664, 97 %, 60 %, 3330 MiB, 8192 MiB, 105.89 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:27.706, 97 %, 63 %, 3330 MiB, 8192 MiB, 106.11 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:28.741, 92 %, 60 %, 3330 MiB, 8192 MiB, 106.23 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:29.778, 94 %, 62 %, 3330 MiB, 8192 MiB, 106.52 W, 86, 1395 MHz, 7000 MHz
